*** Complete additive model ***
--- Criteria weights
 1 	0.225
 2 	0.165
 3 	0.195
 4 	0.200
 5 	0.215
--- Normalized UF
Criterion 1
           2000 	 0.000
           3000 	 0.233
           4000 	 0.760
           5000 	 0.915
           6000 	 0.983
           7000 	 1.000
Criterion 2
              3 	 0.000
              4 	 0.185
              5 	 0.642
              6 	 0.820
              7 	 0.894
              8 	 0.952
              9 	 1.000
Criterion 3
             35 	 0.000
             48 	 0.688
             61 	 0.828
             74 	 0.938
             87 	 0.976
            100 	 1.000
Criterion 4
              0 	 0.000
             22 	 0.478
             44 	 0.769
             66 	 0.891
             88 	 0.967
            110 	 1.000
Criterion 5
              0 	 0.000
              3 	 0.150
              6 	 0.370
              9 	 0.824
             12 	 0.968
             15 	 0.987
             18 	 1.000
